54571 Autauga County, Alabama
8249 Ballard County, Kentucky
42173 Barren County, Kentucky
11591 Bath County, Kentucky
28691 Bell County, Kentucky
118811 Boone County, Kentucky
19985 Bourbon County, Kentucky
49542 Boyd County, Kentucky
28432 Boyle County, Kentucky
8488 Bracken County, Kentucky
13878 Breathitt County, Kentucky
20059 Breckinridge County, Kentucky
74319 Bullitt County, Kentucky
12690 Butler County, Kentucky
12984 Caldwell County, Kentucky
37191 Calloway County, Kentucky
90336 Campbell County, Kentucky
5104 Carlisle County, Kentucky
10811 Carroll County, Kentucky
27720 Carter County, Kentucky
15955 Casey County, Kentucky
73955 Christian County, Kentucky
35613 Clark County, Kentucky
21730 Clay County, Kentucky
10272 Clinton County, Kentucky
9315 Crittenden County, Kentucky
6856 Cumberland County, Kentucky
96656 Daviess County, Kentucky
12161 Edmonson County, Kentucky
7852 Elliott County, Kentucky
14672 Estill County, Kentucky
295803 Fayette County, Kentucky
14348 Fleming County, Kentucky
39451 Floyd County, Kentucky
49285 Franklin County, Kentucky
6813 Fulton County, Kentucky
8589 Gallatin County, Kentucky
16912 Garrard County, Kentucky
24662 Grant County, Kentucky
37121 Graves County, Kentucky
25746 Grayson County, Kentucky
11258 Green County, Kentucky
36910 Greenup County, Kentucky
8565 Hancock County, Kentucky
105543 Hardin County, Kentucky
29278 Harlan County, Kentucky
18846 Harrison County, Kentucky
18199 Hart County, Kentucky
46250 Henderson County, Kentucky
15416 Henry County, Kentucky
4902 Hickman County, Kentucky
46920 Hopkins County, Kentucky
13494 Jackson County, Kentucky
741096 Jefferson County, Kentucky
48586 Jessamine County, Kentucky
23356 Johnson County, Kentucky
159720 Kenton County, Kentucky
16346 Knott County, Kentucky
31883 Knox County, Kentucky
14193 Larue County, Kentucky
58849 Laurel County, Kentucky
15860 Lawrence County, Kentucky
7887 Lee County, Kentucky
11310 Leslie County, Kentucky
24519 Letcher County, Kentucky
13870 Lewis County, Kentucky
24742 Lincoln County, Kentucky
9519 Livingston County, Kentucky
26835 Logan County, Kentucky
8314 Lyon County, Kentucky
65565 McCracken County, Kentucky
18306 McCreary County, Kentucky
9531 McLean County, Kentucky
82916 Madison County, Kentucky
13333 Magoffin County, Kentucky
19820 Marion County, Kentucky
31448 Marshall County, Kentucky
12929 Martin County, Kentucky
17490 Mason County, Kentucky
28602 Meade County, Kentucky
6306 Menifee County, Kentucky
21331 Mercer County, Kentucky
10099 Metcalfe County, Kentucky
10963 Monroe County, Kentucky
26499 Montgomery County, Kentucky
13923 Morgan County, Kentucky
31499 Muhlenberg County, Kentucky
43437 Nelson County, Kentucky
7135 Nicholas County, Kentucky
23842 Ohio County, Kentucky
60316 Oldham County, Kentucky
10841 Owen County, Kentucky
4755 Owsley County, Kentucky
14877 Pendleton County, Kentucky
28712 Perry County, Kentucky
65024 Pike County, Kentucky
12613 Powell County, Kentucky
63063 Pulaski County, Kentucky
2282 Robertson County, Kentucky
17056 Rockcastle County, Kentucky
23333 Rowan County, Kentucky
17565 Russell County, Kentucky
47173 Scott County, Kentucky
42074 Shelby County, Kentucky
17327 Simpson County, Kentucky
17061 Spencer County, Kentucky
24512 Taylor County, Kentucky
12460 Todd County, Kentucky
14339 Trigg County, Kentucky
8809 Trimble County, Kentucky
15007 Union County, Kentucky
113792 Warren County, Kentucky
11717 Washington County, Kentucky
20813 Wayne County, Kentucky
13621 Webster County, Kentucky
35637 Whitley County, Kentucky
7355 Wolfe County, Kentucky
24939 Woodford County, Kentucky
61773 Acadia Parish, Louisiana
25764 Allen Parish, Louisiana
107215 Ascension Parish, Louisiana
23421 Assumption Parish, Louisiana
42073 Avoyelles Parish, Louisiana
35654 Beauregard Parish, Louisiana
14353 Bienville Parish, Louisiana
116979 Bossier Parish, Louisiana
254969 Caddo Parish, Louisiana
192768 Calcasieu Parish, Louisiana
10132 Caldwell Parish, Louisiana
6839 Cameron Parish, Louisiana
10407 Catahoula Parish, Louisiana
17195 Claiborne Parish, Louisiana
20822 Concordia Parish, Louisiana
26656 De Soto Parish, Louisiana
440171 East Baton Rouge Parish, Louisiana
7759 East Carroll Parish, Louisiana
20267 East Feliciana Parish, Louisiana
33984 Evangeline Parish, Louisiana
20767 Franklin Parish, Louisiana
22309 Grant Parish, Louisiana
73240 Iberia Parish, Louisiana
33387 Iberville Parish, Louisiana
16274 Jackson Parish, Louisiana
432552 Jefferson Parish, Louisiana
31594 Jefferson Davis Parish, Louisiana
221578 Lafayette Parish, Louisiana
96318 Lafourche Parish, Louisiana
14890 LaSalle Parish, Louisiana
46735 Lincoln Parish, Louisiana
128026 Livingston Parish, Louisiana
12093 Madison Parish, Louisiana
27979 Morehouse Parish, Louisiana
39566 Natchitoches Parish, Louisiana
343829 Orleans Parish, Louisiana
153720 Ouachita Parish, Louisiana
23042 Plaquemines Parish, Louisiana
22802 Pointe Coupee Parish, Louisiana
131613 Rapides Parish, Louisiana
9091 Red River Parish, Louisiana
20725 Richland Parish, Louisiana
24233 Sabine Parish, Louisiana
35897 St. Bernard Parish, Louisiana
52780 St. Charles Parish, Louisiana
11203 St. Helena Parish, Louisiana
22102 St. James Parish, Louisiana
45924 St. John the Baptist Parish, Louisiana
83384 St. Landry Parish, Louisiana
52160 St. Martin Parish, Louisiana
54650 St. Mary Parish, Louisiana
233740 St. Tammany Parish, Louisiana
121097 Tangipahoa Parish, Louisiana
5252 Tensas Parish, Louisiana
111860 Terrebonne Parish, Louisiana
22721 Union Parish, Louisiana
57999 Vermilion Parish, Louisiana
52334 Vernon Parish, Louisiana
47168 Washington Parish, Louisiana
41207 Webster Parish, Louisiana
23788 West Baton Rouge Parish, Louisiana
11604 West Carroll Parish, Louisiana
15625 West Feliciana Parish, Louisiana
15313 Winn Parish, Louisiana
107702 Androscoggin County, Maine
71870 Aroostook County, Maine
281674 Cumberland County, Maine
30768 Franklin County, Maine
54418 Hancock County, Maine
122151 Kennebec County, Maine
39736 Knox County, Maine
34457 Lincoln County, Maine
57833 Oxford County, Maine
153923 Penobscot County, Maine
17535 Piscataquis County, Maine
35293 Sagadahoc County, Maine
52228 Somerset County, Maine
38786 Waldo County, Maine
32856 Washington County, Maine
197131 York County, Maine
75087 Allegany County, Maryland
537656 Anne Arundel County, Maryland
805029 Baltimore County, Maryland
88737 Calvert County, Maryland
33066 Caroline County, Maryland
167134 Carroll County, Maryland
101108 Cecil County, Maryland
146551 Charles County, Maryland
32618 Dorchester County, Maryland
233385 Frederick County, Maryland
30097 Garrett County, Maryland
244826 Harford County, Maryland
287085 Howard County, Maryland
20197 Kent County, Maryland
971777 Montgomery County, Maryland
863420 Prince George's County, Maryland
47798 Queen Anne's County, Maryland
105151 St. Mary's County, Maryland
26470 Somerset County, Maryland
37782 Talbot County, Maryland
147430 Washington County, Maryland
98733 Wicomico County, Maryland
51454 Worcester County, Maryland
620961 Baltimore city, Maryland
215888 Barnstable County, Massachusetts
131219 Berkshire County, Massachusetts
548285 Bristol County, Massachusetts
16535 Dukes County, Massachusetts
743159 Essex County, Massachusetts
71372 Franklin County, Massachusetts
463490 Hampden County, Massachusetts
158080 Hampshire County, Massachusetts
1503085 Middlesex County, Massachusetts
10172 Nantucket County, Massachusetts
670850 Norfolk County, Massachusetts
494919 Plymouth County, Massachusetts
722023 Suffolk County, Massachusetts
798552 Worcester County, Massachusetts
10942 Alcona County, Michigan
9601 Alger County, Michigan
111408 Allegan County, Michigan
29598 Alpena County, Michigan
23580 Antrim County, Michigan
15899 Arenac County, Michigan
8860 Baraga County, Michigan
59173 Barry County, Michigan
107771 Bay County, Michigan
17525 Benzie County, Michigan
156813 Berrien County, Michigan
45248 Branch County, Michigan
136146 Calhoun County, Michigan
52293 Cass County, Michigan
25949 Charlevoix County, Michigan
26152 Cheboygan County, Michigan
38520 Chippewa County, Michigan
30926 Clare County, Michigan
75382 Clinton County, Michigan
14074 Crawford County, Michigan
37069 Delta County, Michigan
26168 Dickinson County, Michigan
107759 Eaton County, Michigan
32694 Emmet County, Michigan
425790 Genesee County, Michigan
25692 Gladwin County, Michigan
16427 Gogebic County, Michigan
86986 Grand Traverse County, Michigan
42476 Gratiot County, Michigan
46688 Hillsdale County, Michigan
36628 Houghton County, Michigan
33118 Huron County, Michigan
280895 Ingham County, Michigan
63905 Ionia County, Michigan
25887 Iosco County, Michigan
11817 Iron County, Michigan
70311 Isabella County, Michigan
160248 Jackson County, Michigan
250331 Kalamazoo County, Michigan
17153 Kalkaska County, Michigan
602622 Kent County, Michigan
2156 Keweenaw County, Michigan
11539 Lake County, Michigan
88319 Lapeer County, Michigan
21708 Leelanau County, Michigan
99892 Lenawee County, Michigan
180967 Livingston County, Michigan
6631 Luce County, Michigan
11113 Mackinac County, Michigan
840978 Macomb County, Michigan
24733 Manistee County, Michigan
67077 Marquette County, Michigan
28705 Mason County, Michigan
42798 Mecosta County, Michigan
24029 Menominee County, Michigan
83629 Midland County, Michigan
14849 Missaukee County, Michigan
152021 Monroe County, Michigan
63342 Montcalm County, Michigan
9765 Montmorency County, Michigan
172188 Muskegon County, Michigan
48460 Newaygo County, Michigan
1202362 Oakland County, Michigan
26570 Oceana County, Michigan
21699 Ogemaw County, Michigan
6780 Ontonagon County, Michigan
23528 Osceola County, Michigan
8640 Oscoda County, Michigan
24164 Otsego County, Michigan
263801 Ottawa County, Michigan
13376 Presque Isle County, Michigan
24449 Roscommon County, Michigan
200169 Saginaw County, Michigan
163040 St. Clair County, Michigan
61295 St. Joseph County, Michigan
43114 Sanilac County, Michigan
8485 Schoolcraft County, Michigan
70648 Shiawassee County, Michigan
55729 Tuscola County, Michigan
76258 Van Buren County, Michigan
344791 Washtenaw County, Michigan
1820584 Wayne County, Michigan
32735 Wexford County, Michigan
16202 Aitkin County, Minnesota
330844 Anoka County, Minnesota
32504 Becker County, Minnesota
44442 Beltrami County, Minnesota
38451 Benton County, Minnesota
5269 Big Stone County, Minnesota
64013 Blue Earth County, Minnesota
25893 Brown County, Minnesota
35386 Carlton County, Minnesota
91042 Carver County, Minnesota
28567 Cass County, Minnesota
12441 Chippewa County, Minnesota
53887 Chisago County, Minnesota
58999 Clay County, Minnesota
8695 Clearwater County, Minnesota
5176 Cook County, Minnesota
11687 Cottonwood County, Minnesota
62500 Crow Wing County, Minnesota
398552 Dakota County, Minnesota
20087 Dodge County, Minnesota
36009 Douglas County, Minnesota
14553 Faribault County, Minnesota
20866 Fillmore County, Minnesota
31255 Freeborn County, Minnesota
46183 Goodhue County, Minnesota
6018 Grant County, Minnesota
1152425 Hennepin County, Minnesota
19027 Houston County, Minnesota
20428 Hubbard County, Minnesota
37816 Isanti County, Minnesota
45058 Itasca County, Minnesota
10266 Jackson County, Minnesota
16239 Kanabec County, Minnesota
42239 Kandiyohi County, Minnesota
4552 Kittson County, Minnesota
13311 Koochiching County, Minnesota
7259 Lac qui Parle County, Minnesota
10866 Lake County, Minnesota
4045 Lake of the Woods County, Minnesota
27703 Le Sueur County, Minnesota
5896 Lincoln County, Minnesota
25857 Lyon County, Minnesota
36651 McLeod County, Minnesota
5413 Mahnomen County, Minnesota
9439 Marshall County, Minnesota
20840 Martin County, Minnesota
23300 Meeker County, Minnesota
26097 Mille Lacs County, Minnesota
33198 Morrison County, Minnesota
39163 Mower County, Minnesota
8725 Murray County, Minnesota
32727 Nicollet County, Minnesota
21378 Nobles County, Minnesota
6852 Norman County, Minnesota
144248 Olmsted County, Minnesota
57303 Otter Tail County, Minnesota
13930 Pennington County, Minnesota
29750 Pine County, Minnesota
9596 Pipestone County, Minnesota
31600 Polk County, Minnesota
10995 Pope County, Minnesota
508640 Ramsey County, Minnesota
4089 Red Lake County, Minnesota
16059 Redwood County, Minnesota
15730 Renville County, Minnesota
64142 Rice County, Minnesota
9687 Rock County, Minnesota
15629 Roseau County, Minnesota
200226 St. Louis County, Minnesota
129928 Scott County, Minnesota
88499 Sherburne County, Minnesota
15226 Sibley County, Minnesota
150642 Stearns County, Minnesota
36576 Steele County, Minnesota
9726 Stevens County, Minnesota
9783 Swift County, Minnesota
24895 Todd County, Minnesota
3558 Traverse County, Minnesota
21676 Wabasha County, Minnesota
13843 Wadena County, Minnesota
19136 Waseca County, Minnesota
238136 Washington County, Minnesota
11211 Watonwan County, Minnesota
6576 Wilkin County, Minnesota
51461 Winona County, Minnesota
124700 Wright County, Minnesota
10438 Yellow Medicine County, Minnesota
32297 Adams County, Mississippi
37057 Alcorn County, Mississippi
13131 Amite County, Mississippi
19564 Attala County, Mississippi
8729 Benton County, Mississippi
34145 Bolivar County, Mississippi
14962 Calhoun County, Mississippi
10597 Carroll County, Mississippi
17392 Chickasaw County, Mississippi
8547 Choctaw County, Mississippi
9604 Claiborne County, Mississippi
16732 Clarke County, Mississippi
20634 Clay County, Mississippi
26151 Coahoma County, Mississippi
29449 Copiah County, Mississippi
19568 Covington County, Mississippi
161252 DeSoto County, Mississippi
74934 Forrest County, Mississippi
8118 Franklin County, Mississippi
22578 George County, Mississippi
14400 Greene County, Mississippi
21906 Grenada County, Mississippi
43929 Hancock County, Mississippi
187105 Harrison County, Mississippi
245285 Hinds County, Mississippi
19198 Holmes County, Mississippi
9375 Humphreys County, Mississippi
1406 Issaquena County, Mississippi
23401 Itawamba County, Mississippi
139668 Jackson County, Mississippi
17062 Jasper County, Mississippi
7726 Jefferson County, Mississippi
12487 Jefferson Davis County, Mississippi
67761 Jones County, Mississippi
10456 Kemper County, Mississippi
47351 Lafayette County, Mississippi
55658 Lamar County, Mississippi
80261 Lauderdale County, Mississippi
12929 Lawrence County, Mississippi
23805 Leake County, Mississippi
82910 Lee County, Mississippi
32317 Leflore County, Mississippi
34869 Lincoln County, Mississippi
59779 Lowndes County, Mississippi
95203 Madison County, Mississippi
27088 Marion County, Mississippi
37144 Marshall County, Mississippi
36989 Monroe County, Mississippi
10925 Montgomery County, Mississippi
29676 Neshoba County, Mississippi
21720 Newton County, Mississippi
11545 Noxubee County, Mississippi
47671 Oktibbeha County, Mississippi
34707 Panola County, Mississippi
55834 Pearl River County, Mississippi
12250 Perry County, Mississippi
40404 Pike County, Mississippi
29957 Pontotoc County, Mississippi
25276 Prentiss County, Mississippi
8223 Quitman County, Mississippi
141617 Rankin County, Mississippi
28264 Scott County, Mississippi
4916 Sharkey County, Mississippi
27503 Simpson County, Mississippi
16491 Smith County, Mississippi
17786 Stone County, Mississippi
29450 Sunflower County, Mississippi
15378 Tallahatchie County, Mississippi
28886 Tate County, Mississippi
22232 Tippah County, Mississippi
19593 Tishomingo County, Mississippi
10778 Tunica County, Mississippi
27134 Union County, Mississippi
15443 Walthall County, Mississippi
48773 Warren County, Mississippi
51137 Washington County, Mississippi
20747 Wayne County, Mississippi
10253 Webster County, Mississippi
9878 Wilkinson County, Mississippi
19198 Winston County, Mississippi
12678 Yalobusha County, Mississippi
28065 Yazoo County, Mississippi
25607 Adair County, Missouri
17291 Andrew County, Missouri
5685 Atchison County, Missouri
25529 Audrain County, Missouri
35597 Barry County, Missouri
12402 Barton County, Missouri
17049 Bates County, Missouri
19056 Benton County, Missouri
12363 Bollinger County, Missouri
162642 Boone County, Missouri
89201 Buchanan County, Missouri
42794 Butler County, Missouri
9424 Caldwell County, Missouri
44332 Callaway County, Missouri
44002 Camden County, Missouri
75674 Cape Girardeau County, Missouri
9295 Carroll County, Missouri
6265 Carter County, Missouri
99478 Cass County, Missouri
13982 Cedar County, Missouri
7831 Chariton County, Missouri
77422 Christian County, Missouri
7139 Clark County, Missouri
221939 Clay County, Missouri
20743 Clinton County, Missouri
75990 Cole County, Missouri
17601 Cooper County, Missouri
24696 Crawford County, Missouri
7883 Dade County, Missouri
16777 Dallas County, Missouri
8433 Daviess County, Missouri
12892 DeKalb County, Missouri
15657 Dent County, Missouri
13684 Douglas County, Missouri
31953 Dunklin County, Missouri
101492 Franklin County, Missouri
15222 Gasconade County, Missouri
6738 Gentry County, Missouri
275174 Greene County, Missouri
10261 Grundy County, Missouri
8957 Harrison County, Missouri
22272 Henry County, Missouri
9627 Hickory County, Missouri
4912 Holt County, Missouri
10144 Howard County, Missouri
40400 Howell County, Missouri
10630 Iron County, Missouri
674158 Jackson County, Missouri
117404 Jasper County, Missouri
218733 Jefferson County, Missouri
52595 Johnson County, Missouri
4131 Knox County, Missouri
35571 Laclede County, Missouri
33381 Lafayette County, Missouri
38634 Lawrence County, Missouri
10211 Lewis County, Missouri
52566 Lincoln County, Missouri
12761 Linn County, Missouri
15195 Livingston County, Missouri
23083 McDonald County, Missouri
15566 Macon County, Missouri
12226 Madison County, Missouri
9176 Maries County, Missouri
28781 Marion County, Missouri
3785 Mercer County, Missouri
24748 Miller County, Missouri
14358 Mississippi County, Missouri
15607 Moniteau County, Missouri
8840 Monroe County, Missouri
12236 Montgomery County, Missouri
20565 Morgan County, Missouri
18956 New Madrid County, Missouri
58114 Newton County, Missouri
23370 Nodaway County, Missouri
10881 Oregon County, Missouri
13878 Osage County, Missouri
9723 Ozark County, Missouri
18296 Pemiscot County, Missouri
18971 Perry County, Missouri
42201 Pettis County, Missouri
45156 Phelps County, Missouri
18516 Pike County, Missouri
89322 Platte County, Missouri
31137 Polk County, Missouri
52274 Pulaski County, Missouri
4979 Putnam County, Missouri
10167 Ralls County, Missouri
25414 Randolph County, Missouri
23494 Ray County, Missouri
6696 Reynolds County, Missouri
14100 Ripley County, Missouri
360485 St. Charles County, Missouri
9805 St. Clair County, Missouri
18145 Ste. Genevieve County, Missouri
65359 St. Francois County, Missouri
998954 St. Louis County, Missouri
23370 Saline County, Missouri
4431 Schuyler County, Missouri
4843 Scotland County, Missouri
39191 Scott County, Missouri
8441 Shannon County, Missouri
6373 Shelby County, Missouri
29968 Stoddard County, Missouri
32202 Stone County, Missouri
6714 Sullivan County, Missouri
51675 Taney County, Missouri
26008 Texas County, Missouri
21159 Vernon County, Missouri
32513 Warren County, Missouri
25195 Washington County, Missouri
13521 Wayne County, Missouri
36202 Webster County, Missouri
2171 Worth County, Missouri
18815 Wright County, Missouri
319294 St. Louis city, Missouri
9246 Beaverhead County, Montana
12865 Big Horn County, Montana
6491 Blaine County, Montana
5612 Broadwater County, Montana
10078 Carbon County, Montana
1160 Carter County, Montana
81327 Cascade County, Montana
5813 Chouteau County, Montana
11699 Custer County, Montana
1751 Daniels County, Montana
8966 Dawson County, Montana
9298 Deer Lodge County, Montana
2890 Fallon County, Montana
11586 Fergus County, Montana
90928 Flathead County, Montana
89513 Gallatin County, Montana
1206 Garfield County, Montana
13399 Glacier County, Montana
884 Golden Valley County, Montana
3079 Granite County, Montana
16096 Hill County, Montana
11406 Jefferson County, Montana
2072 Judith Basin County, Montana
28746 Lake County, Montana
63395 Lewis and Clark County, Montana
2339 Liberty County, Montana
19687 Lincoln County, Montana
1734 McCone County, Montana
7691 Madison County, Montana
1891 Meagher County, Montana
4223 Mineral County, Montana
109299 Missoula County, Montana
4538 Musselshell County, Montana
15636 Park County, Montana
494 Petroleum County, Montana
4253 Phillips County, Montana
6153 Pondera County, Montana
1743 Powder River County, Montana
7027 Powell County, Montana
1179 Prairie County, Montana
40212 Ravalli County, Montana
9746 Richland County, Montana
10425 Roosevelt County, Montana
9233 Rosebud County, Montana
11413 Sanders County, Montana
3384 Sheridan County, Montana
34200 Silver Bow County, Montana
9117 Stillwater County, Montana
3651 Sweet Grass County, Montana
6073 Teton County, Montana
5324 Toole County, Montana
718 Treasure County, Montana
7369 Valley County, Montana
2168 Wheatland County, Montana
1017 Wibaux County, Montana
147972 Yellowstone County, Montana
31364 Adams County, Nebraska
6685 Antelope County, Nebraska
460 Arthur County, Nebraska
690 Banner County, Nebraska
478 Blaine County, Nebraska
5505 Boone County, Nebraska
11308 Box Butte County, Nebraska
2099 Boyd County, Nebraska
3145 Brown County, Nebraska
46102 Buffalo County, Nebraska
6858 Burt County, Nebraska
8395 Butler County, Nebraska
25241 Cass County, Nebraska
8852 Cedar County, Nebraska
3966 Chase County, Nebraska
5713 Cherry County, Nebraska
9998 Cheyenne County, Nebraska
6542 Clay County, Nebraska
10515 Colfax County, Nebraska
9139 Cuming County, Nebraska
10939 Custer County, Nebraska
21006 Dakota County, Nebraska
9182 Dawes County, Nebraska
24326 Dawson County, Nebraska
1941 Deuel County, Nebraska
6000 Dixon County, Nebraska
36691 Dodge County, Nebraska
517110 Douglas County, Nebraska
2008 Dundy County, Nebraska
5890 Fillmore County, Nebraska
3225 Franklin County, Nebraska
2756 Frontier County, Nebraska
4959 Furnas County, Nebraska
22311 Gage County, Nebraska
2057 Garden County, Nebraska
2049 Garfield County, Nebraska
2044 Gosper County, Nebraska
614 Grant County, Nebraska
2538 Greeley County, Nebraska
58607 Hall County, Nebraska
9124 Hamilton County, Nebraska
3423 Harlan County, Nebraska
967 Hayes County, Nebraska
2908 Hitchcock County, Nebraska
10435 Holt County, Nebraska
736 Hooker County, Nebraska
6274 Howard County, Nebraska
7547 Jefferson County, Nebraska
5217 Johnson County, Nebraska
6489 Kearney County, Nebraska
8368 Keith County, Nebraska
824 Keya Paha County, Nebraska
3821 Kimball County, Nebraska
8701 Knox County, Nebraska
285407 Lancaster County, Nebraska
36288 Lincoln County, Nebraska
763 Logan County, Nebraska
632 Loup County, Nebraska
539 McPherson County, Nebraska
34876 Madison County, Nebraska
7845 Merrick County, Nebraska
5042 Morrill County, Nebraska
3735 Nance County, Nebraska
7248 Nemaha County, Nebraska
4500 Nuckolls County, Nebraska
15740 Otoe County, Nebraska
2773 Pawnee County, Nebraska
2970 Perkins County, Nebraska
9188 Phelps County, Nebraska
7266 Pierce County, Nebraska
32237 Platte County, Nebraska
5406 Polk County, Nebraska
11055 Red Willow County, Nebraska
8363 Richardson County, Nebraska
1526 Rock County, Nebraska
14200 Saline County, Nebraska
158840 Sarpy County, Nebraska
20780 Saunders County, Nebraska
36970 Scotts Bluff County, Nebraska
16750 Seward County, Nebraska
5469 Sheridan County, Nebraska
3152 Sherman County, Nebraska
1311 Sioux County, Nebraska
6129 Stanton County, Nebraska
5228 Thayer County, Nebraska
647 Thomas County, Nebraska
6940 Thurston County, Nebraska
4260 Valley County, Nebraska
20234 Washington County, Nebraska
9595 Wayne County, Nebraska
3812 Webster County, Nebraska
818 Wheeler County, Nebraska
13665 York County, Nebraska
24877 Churchill County, Nevada
1951269 Clark County, Nevada
46997 Douglas County, Nevada
48818 Elko County, Nevada
783 Esmeralda County, Nevada
1987 Eureka County, Nevada
16528 Humboldt County, Nevada
5775 Lander County, Nevada
5345 Lincoln County, Nevada
51980 Lyon County, Nevada
4772 Mineral County, Nevada
43946 Nye County, Nevada
6753 Pershing County, Nevada
4010 Storey County, Nevada
421407 Washoe County, Nevada
10030 White Pine County, Nevada
55274 Carson City, Nevada
60088 Belknap County, New Hampshire
47818 Carroll County, New Hampshire
77117 Cheshire County, New Hampshire
33055 Coos County, New Hampshire
89118 Grafton County, New Hampshire
400721 Hillsborough County, New Hampshire
146445 Merrimack County, New Hampshire
295223 Rockingham County, New Hampshire
123143 Strafford County, New Hampshire
43742 Sullivan County, New Hampshire
274549 Atlantic County, New Jersey
905116 Bergen County, New Jersey
448734 Burlington County, New Jersey
513657 Camden County, New Jersey
97265 Cape May County, New Jersey
156898 Cumberland County, New Jersey
783969 Essex County, New Jersey
288288 Gloucester County, New Jersey
634266 Hudson County, New Jersey
128349 Hunterdon County, New Jersey
366513 Mercer County, New Jersey
809858 Middlesex County, New Jersey
630380 Monmouth County, New Jersey
492276 Morris County, New Jersey
576567 Ocean County, New Jersey
501226 Passaic County, New Jersey
66083 Salem County, New Jersey
323444 Somerset County, New Jersey
149265 Sussex County, New Jersey
536499 Union County, New Jersey
108692 Warren County, New Jersey
662564 Bernalillo County, New Mexico
3725 Catron County, New Mexico
65645 Chaves County, New Mexico
27213 Cibola County, New Mexico
13750 Colfax County, New Mexico
48376 Curry County, New Mexico
2022 De Baca County, New Mexico
209233 Doña Ana County, New Mexico
53829 Eddy County, New Mexico
29514 Grant County, New Mexico
4687 Guadalupe County, New Mexico
695 Harding County, New Mexico
4894 Hidalgo County, New Mexico
64727 Lea County, New Mexico
20497 Lincoln County, New Mexico
17950 Los Alamos County, New Mexico
25095 Luna County, New Mexico
71492 McKinley County, New Mexico
4881 Mora County, New Mexico
63797 Otero County, New Mexico
9041 Quay County, New Mexico
40246 Rio Arriba County, New Mexico
19846 Roosevelt County, New Mexico
131561 Sandoval County, New Mexico
130044 San Juan County, New Mexico
29393 San Miguel County, New Mexico
144170 Santa Fe County, New Mexico
11988 Sierra County, New Mexico
17866 Socorro County, New Mexico
32937 Taos County, New Mexico
16383 Torrance County, New Mexico
4549 Union County, New Mexico
76569 Valencia County, New Mexico
304204 Albany County, New York
48946 Allegany County, New York
1385108 Bronx County, New York
200600 Broome County, New York
80317 Cattaraugus County, New York
80026 Cayuga County, New York
134905 Chautauqua County, New York
88830 Chemung County, New York
50477 Chenango County, New York
82128 Clinton County, New York
63096 Columbia County, New York
49336 Cortland County, New York
47980 Delaware County, New York
297488 Dutchess County, New York
919040 Erie County, New York
39370 Essex County, New York
51599 Franklin County, New York
55531 Fulton County, New York
60079 Genesee County, New York
49221 Greene County, New York
4836 Hamilton County, New York
64519 Herkimer County, New York
116229 Jefferson County, New York
2504700 Kings County, New York
27087 Lewis County, New York
65393 Livingston County, New York
73442 Madison County, New York
744344 Monroe County, New York
50219 Montgomery County, New York
1339532 Nassau County, New York
1585873 New York County, New York
216469 Niagara County, New York
234878 Oneida County, New York
467026 Onondaga County, New York
107931 Ontario County, New York
372813 Orange County, New York
42883 Orleans County, New York
122109 Oswego County, New York
62259 Otsego County, New York
99710 Putnam County, New York
2230722 Queens County, New York
159429 Rensselaer County, New York
468730 Richmond County, New York
311687 Rockland County, New York
111944 St. Lawrence County, New York
219607 Saratoga County, New York
154727 Schenectady County, New York
32749 Schoharie County, New York
18343 Schuyler County, New York
35251 Seneca County, New York
98990 Steuben County, New York
1493350 Suffolk County, New York
77547 Sullivan County, New York
51125 Tioga County, New York
101564 Tompkins County, New York
182493 Ulster County, New York
65707 Warren County, New York
63216 Washington County, New York
93772 Wayne County, New York
949113 Westchester County, New York
42155 Wyoming County, New York
25348 Yates County, New York
151131 Alamance County, North Carolina
37198 Alexander County, North Carolina
11155 Alleghany County, North Carolina
26948 Anson County, North Carolina
27281 Ashe County, North Carolina
17797 Avery County, North Carolina
47759 Beaufort County, North Carolina
21282 Bertie County, North Carolina
35190 Bladen County, North Carolina
107431 Brunswick County, North Carolina
238318 Buncombe County, North Carolina
90912 Burke County, North Carolina
178011 Cabarrus County, North Carolina
83029 Caldwell County, North Carolina
9980 Camden County, North Carolina
66469 Carteret County, North Carolina
23719 Caswell County, North Carolina
154358 Catawba County, North Carolina
63505 Chatham County, North Carolina
27444 Cherokee County, North Carolina
14793 Chowan County, North Carolina
10587 Clay County, North Carolina
98078 Cleveland County, North Carolina
58098 Columbus County, North Carolina
103505 Craven County, North Carolina
319431 Cumberland County, North Carolina
23547 Currituck County, North Carolina
33920 Dare County, North Carolina
162878 Davidson County, North Carolina
41240 Davie County, North Carolina
58505 Duplin County, North Carolina
267587 Durham County, North Carolina
56552 Edgecombe County, North Carolina
350670 Forsyth County, North Carolina
60619 Franklin County, North Carolina
206086 Gaston County, North Carolina
12197 Gates County, North Carolina
8861 Graham County, North Carolina
59916 Granville County, North Carolina
21362 Greene County, North Carolina
488406 Guilford County, North Carolina
54691 Halifax County, North Carolina
114678 Harnett County, North Carolina
59036 Haywood County, North Carolina
106740 Henderson County, North Carolina
24669 Hertford County, North Carolina
46952 Hoke County, North Carolina
5810 Hyde County, North Carolina
159437 Iredell County, North Carolina
40271 Jackson County, North Carolina
168878 Johnston County, North Carolina
10153 Jones County, North Carolina
57866 Lee County, North Carolina
59495 Lenoir County, North Carolina
78265 Lincoln County, North Carolina
